Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
Sensib pro Relais Popote du 4,33,Rencontre structure,,,,,,,,,,,Relais Popote du 4,CCAS de Bordeaux,,
Sensib pro La Cimade,33,Rencontre structure,,,,,,,,,,,La Cimade,La Cimade,,
Sensib pro La Marmite,33,Rencontre structure,,,,,,,,,,,La Marmite,,,
Sensib pro CSAPA Centre Maurice SERISÉ,33,Rencontre structure,,,,,,,,,,,CSAPA - Maurice Serisé,CEID Addiction,,
Sensib pro Le Relais Talençais,33,Rencontre structure,,,,,,,,,,,Le Relais Talençais,Le Relais Talençais,,
Sensib bénéficiaire Le 4 de Bordeaux ,33,Permanence,,,,,,,,,,,Le 4 de Bordeaux ,Association le 4 de Bordeaux Siège Social,,
Sensib pro L'Ecole des Femmes,33,Rencontre structure,,,,,,,,,,,Association MANA (L'école des femmes),Association MANA,,
Sensib pro CALK Comité d'Animation Lafontaine Kléber,33,Rencontre structure,,,,,,,,,,,CALK Comité d'Animation Lafontaine Kléber,CALK Comité d'Animation Lafontaine Kléber,,
Sensib pro Toutes à l'abri,33,Rencontre structure,,,,,,,,,,,Toutes à l'abri,Toutes à l'abri,,
Sensib pro CIDFF de Bordeaux,33,Rencontre structure,,,,,,,,,,,CIDFF de Bordeaux,Centre d'Information Droits des Femmes et des Familles Gironde,,
Sensib pro AIDES,33,Rencontre structure,,,,,,,,,,,AIDES,AIDES,,
Sensib pro L'Escale des familles - Espace Solidarité Malbec,33,Rencontre structure,,,,,,,,,,,L'Escale des familles - Espace Solidarité Malbec,Secours Populaire Français - Gironde,,
Sensib Pro Restos du Coeur Fort Louis,33,Rencontre structure,Stagiaire,,,,,,,"Intéressés

",,,Accueil de jour des Restos du Coeur,Restos du Coeur Gironde,,
Sensib pro Centre de distribution des Restos du Cœur,33,Rencontre structure,,,,,,,,,,,Centre de distribution des Restos du Cœur de Bordeaux Fort Louis,Restos du Coeur Gironde,,
Sensib pro ASP La Réole,33,Rencontre structure,,,,,,,,,,,France Services antenne La Réole,France Service Reolais en Sud Gironde,,
Sensib pro AL Prado,33,Rencontre structure,,,,,,,,,,,AL Prado,SAMU Social,,
Sensib bénéficiaire CAARUD Planterose,33,Permanence,,,,,,,,,,,CAARUD Planterose,CEID Addiction,,
Sensib pro Oxygène,33,Rencontre structure,,,,,,,,,,,Oxygène,Oxygène,,
Sensib bénéficiaire Réseau Paul Bert,33,Permanence,,,,,,,,,,,Réseau Paul Bert,Réseau Paul Bert,,
Sensib pro Association Halte 33,33,Rencontre structure,,,,,,,,,,,Association Halte 33,,,
Sensib bénéficiaire Marché des Douves,33,Permanence,,,,,,,,,,,Marché des Douves,Association la Halle des Douves,,
Sensib pro  AIME,33,Rencontre structure,,,,,,,,,,, AIME,Association Acceuil des Migrants et des Exilés,,
Sensib bénéficiaire La Marmite,33,Permanence,,,,,,,,,,,La Marmite,,,
Sensib pro Coffee Bus,33,Rencontre structure,,,,,,,,,,,Coffee Bus,Coffee Bus,,
Sensib bénéficiaire Promofemmes ,33,Permanence,,,,,,,,,,,Promofemmes ,Association Promofemmes Saint-Michel,,
sensi pro Ovale Citoyen,33,Rencontre structure,Service civique,,,,,,,,,,Ovale Citoyen,Association Ovale Citoyen,,
Sensib pro COS Quancard,33,Rencontre structure,,,,,,,,,,,Fondation COS Alexandre Glasberg - Plateforme Accueil et Intégration des Réfugiés (AIR),Fondation COS Alexandre Glasberg,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Graines de solidarité,33,Rencontre structure,,,,,,,,,,,Graines de solidarité,Graines de solidarité,,
Sensib pro Les P'tits Gratteurs,33,Rencontre structure,,,,,,,,,,,Les P'tits Gratteurs,Les P'tits Gratteurs,,
Sensib pro Le Vestiaire - Espace Solidarité Malbec ,33,Rencontre structure,,,,,,,,,,,Le Vestiaire - Espace Solidarité Malbec ,Secours Populaire Français - Gironde,,
Sensib pro Comité d'Étude et d'Information sur la Drogue et les Addictions,33,Rencontre structure,,,,,,,,,,,CSAPA CEID - Antenne Arcachon,CEID Addiction,,
Sensib bénéficiaire   La maison des familles,33,Permanence,,,,,,,,,,,La maison des familles,La maison des familles,,
Sensib pro CAIO,33,Rencontre structure,,,,,,,,,,,CAIO,CAIO,,
Sensib pro Espace d'accueil PMI,33,Rencontre structure,,,,,,,,,,,Espace d'accueil PMI,Maisons Départementales de la Solidarité de Gironde,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib bénéficiaire La Bagagerie ,33,Permanence,,,,,,,,,,,La Bagagerie ,CAIO,,
Sensib pro La cabane à gratter,33,Rencontre structure,,,,2.0,,,,,,,La cabane à gratter,La cabane à gratter,,
Sensib bénéficiaire Antenne Amédée Alins,33,Permanence,,,,,,,,,,,Antenne Amédée Alins,Secours Populaire Français - Gironde,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Réseau Paul Bert,33,Rencontre structure,,,,,,,,,,,Réseau Paul Bert,Réseau Paul Bert,,
Sensib pro Centre de distribution des Restos du Cœur,33,Rencontre structure,,,,,,,,,,,Centre de distribution des Restos du Cœur de Bordeaux Fort Louis,Restos du Coeur Gironde,,
Sensib pro Centre d'Accueil pour Demandeurs d'Asile (CADA) COS Quancard,33,Rencontre structure,,,,,,,,,,,Centre d'Accueil pour Demandeurs d'Asile (CADA) COS Quancard,Fondation COS Alexandre Glasberg,,
Sensib pro Accueil de jour des Restos du Coeur,33,Rencontre structure,,,,,,,,,,,Accueil de jour des Restos du Coeur,Restos du Coeur Gironde,,
Sensib pro Groupement pour l’Insertion des personnes Handicapées Physiques Aquitaine,33,Rencontre structure,,,,,,,,,,,Groupement pour l’Insertion des personnes Handicapées Physiques Aquitaine,GIHP Aquitaine,,
Sensib bénéficiaire COS Quancard,33,Permanence,,,,,,,,,,,Fondation COS Alexandre Glasberg - Plateforme Accueil et Intégration des Réfugiés (AIR),Fondation COS Alexandre Glasberg,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Marché des Douves,33,Rencontre structure,,,,,,,,,,,Marché des Douves,Association la Halle des Douves,,
Sensib pro Promofemmes ,33,Rencontre structure,,,,,,,,,,,Promofemmes ,Association Promofemmes Saint-Michel,,
Sensib pro Wanted Café ,33,Rencontre structure,,,,,,,,,,,Wanted Café ,Wanted Community,,
Sensib pro Familles en Gironde,33,Rencontre structure,,,,,,,,,,,Familles en Gironde,Familles en Gironde,,
Sensib pro Antenne Amédée Alins,33,Rencontre structure,,,,,,,,,,,Antenne Amédée Alins,Secours Populaire Français - Gironde,,
Sensib pro Maison du Département des Solidarités (MDS) Bordeaux Saint Jean,33,Rencontre structure,,,,,,,,,,,MDS Bordeaux Saint Jean,Maisons Départementales de la Solidarité de Gironde,,
Sensib pro Mission Locale Bordeaux Avenir Jeunes Antenne Sud,33,Rencontre structure,,,,,,,,,,,Mission Locale Bordeaux Avenir Jeunes Antenne Sud,Mission Locale de Bordeaux,,
Sensib pro AIM,33,Rencontre structure,,,,,,,,,,,AIM,Action Inter Médiation,,
Sensib bénéficiaire Le Nom Lieu,33,Permanence,,,,,,,,,,,,,,
Sensib pro L'Atelier Remuménage,33,Rencontre structure,,,,,,,,,,,L'Atelier Remuménage,L'Atelier Remuménage,,
Sensib pro La Bagagerie ,33,Rencontre structure,,,,,,,,,,,La Bagagerie ,CAIO,,
