Nom,Etat,Territoire,Source,Document à joindre,Notes,Lien,Date de parution,Référent
Plaquette partenaires CD T4,"En cours d'ajout,Partenariat actif",06,Béatrice Vélot,Plaquette Pro Livret (2).docx (https://dl.airtable.com/.attachments/1a4ac194adef8cbd1146cf9c2e60ce3a/3acbb1de/PlaquetteProLivret2.docx),,,2021-01-28,
Plaquettes offre de service CD,"Données intégrées,Partenariat en cours,Partenariat actif,En cours d'ajout",06,,"dpt06-sante-social_structures-proxi_t3.pdf (https://dl.airtable.com/.attachments/5788039842283168053859f172a7e088/a0726f4f/dpt06-sante-social_structures-proxi_t3.pdf),dpt06-sante-social_structures-proxi_t4.pdf (https://dl.airtable.com/.attachments/c8a9ca90607c1c5ebdc9550757f0098b/5a86d5f3/dpt06-sante-social_structures-proxi_t4.pdf),dpt06-sante-social_structures-proxi_t5.pdf (https://dl.airtable.com/.attachments/56f51c41a1cc93ae35eb053bd22230dd/0375e8f8/dpt06-sante-social_structures-proxi_t5.pdf),dpt06-sante-social_structures-proxi_t1.pdf (https://dl.airtable.com/.attachments/87488bca2de45e7120f14a37085349f5/277de66e/dpt06-sante-social_structures-proxi_t1.pdf),dpt06-sante-social_structures-proxi_t2.pdf (https://dl.airtable.com/.attachments/b9a638ec1ef40e7113ef44c0b8963b98/a7633d8f/dpt06-sante-social_structures-proxi_t2.pdf)",Tous les territoires ,,2021-01-28,
Guide aides sociales étudiants,Données intégrées,06,Face 06,GASEA 2020-2021.pdf (https://dl.airtable.com/.attachments/dc7117acd36ed58ad864b2ade337a823/632fa188/GASEA2020-2021.pdf),"06Surtout des aides sociales, les lieux ont été cartographié ",,2021-03-05,
Information partenaires ,"Données intégrées,Partenariat actif",06,Isabelle ASTRI,INFOS_PARTENAIRES coordonnées.xlsx (https://dl.airtable.com/.attachments/c852a4fa94ba93d606df370db819ea26/577d93f6/INFOS_PARTENAIREScoordonnes.xlsx),"Surtout des trucs qui ne rentrent pas dans notre scope (hébergement, ehpad, ...). Les données viables ont été ajoutées",,2021-01-22,
Plaquette 115-06 Hiver 2021,"Données intégrées,Partenariat en cours",06,Site de l'Association pour la Démocrat,SIAOhiver2021.pdf (https://dl.airtable.com/.attachments/b91c4f25f90aece8ddf038bf3ba63413/039f7252/SIAOhiver2021.pdf),Plaquette du 115-06 pour l'hiver 2020/21 avec : où manger / démarches AD / où se poser / où se soigner / où se doucher,http://ademonice06.com/maraudes-permanences-medicales-demuni-e-s/,2021-01-21,
Liste accueil institutionnel ,"Partenariat actif,En cours d'ajout",06,Béatrice Vélot,Accueil institutionnel par ville (1).csv (https://dl.airtable.com/.attachments/06aef0871938187097f828b4dd2f256d/e185633e/Accueilinstitutionnelparville1.csv),"'@Perrine Poupaud Tout est carto sauf potentiellement certaines missions locales, notamment les antennes (à vérifier). Attention pour le PLIE de cannes car il ne souhaite pas ajouter les antennes le gars (tu sait celui qui a fait un outil très similaire à Soliguide (Appolonia)",,2021-01-26,
Aide alimentaire Nice,,06,Isabelle Astri,Répertoire assoc aides alimentaires.xls (https://dl.airtable.com/.attachments/d4f27704597bcc25bdeba9c9c345c677/841bbc93/Rpertoireassocaidesalimentaires.xls),"Nice uniquement @Servane Baron  ca a été fait ça ? 
Tout  été fait, sauf ceux impossibles à contacter (genre Espoir d'un jour) @Perrine Poupaud ",,2021-01-28,
Listes socio-connect,"Données intégrées,Partenariat actif",06,Marie Chantal Mittaine,"invités réunion bilan.docx (https://dl.airtable.com/.attachments/d17ab485cca8a1a86964b3d2dd7d5192/87a3553f/invitsrunionbilan.docx),Liste des partenaires invités.docx (https://dl.airtable.com/.attachments/8735ffb4f155db0ecb42122186694a86/3e63cd64/Listedespartenairesinvits.docx)",Acteurs avec qui on est déjà en partenariat,,2021-02-01,
Gisti ,Données intégrées,44,,,,https://www.gisti.org/spip.php?article1506#pdl,,
Pep Atlantique Anjou,Données intégrées,44,,,,http://pep-atlantique-anjou.fr/,,
Répertoire d'accès au droit des populations primo-arrivantes à Nantes ,Données intégrées,44,,,,http://pays-de-la-loire.drdjscs.gouv.fr/sites/pays-de-la-loire.drdjscs.gouv.fr/IMG/pdf/loire-atlantique_11-2018.pdf,,
Guide de l'urgence Social de Saint-Nazaire ,Données intégrées,44,,,,https://www.saintnazaire.fr/fileadmin/Saint-Nazaire/01.Demarches_infos-pratiques/Social_solidarite/20181123-Adresses_sociales_juillet_2018_-_V_web.pdf,,
Guide des résidents étrangers ,Données intégrées,44,,,,https://fr.calameo.com/read/004590458e346fecbb6d9?page=1,,
Les maisons de quartier de Nantes,En cours d'ajout,44,,,,https://metropole.nantes.fr/territoire-institutions/nantes/les-maisons-de-quartier,,
Solidarités Nouvelles face au Chômage (SNC),Données intégrées,44,,," NANTES 1
     Elisabeth LE MERDY
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
     NANTES 2
     Dominique RIOU et Hervé PIEDALOS
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
     NANTES 3
     Robert JOUAN
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
     NANTES 4
     Cécile DERT
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
     NANTES 5
     Jean SARREO et Yves HAMON
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
     NANTES 6
     Jacques SIMON
     accueilsnc.nantes@snc.asso.fr

     6 Place de la Manu 44000 Nantes
     06 18 24 39 40
",,,
Liste de Chantiers d'insertion ,Données intégrées,44,,,,http://www.lesentreprisesdinsertion.org/france/annuaire-entreprises,,
listes de centre sociaux en loire atlantique,A ajouter,44,,,,https://paysdelaloire.centres-sociaux.fr/federation-des-centres-sociaux-et-socioculturels-de-loire-atlantique/les-centres-sociaux-adherents-a-la-federation-de-loire-atlantique/,,
Répertoire des permanences CRESUS,Données intégrées,44,FÉDÉRATION FRANCAISE DES ASSOCIATIONS CRÉSUS,,,https://www.cresusalsace.org/images/stories/doc/reseau_cresus.pdf,,
Liste des IAE ,A ajouter,44,,,,http://www.siae-paysdelaloire.fr/,,
Guide de l'Urgence sociale de Nantes ,Données intégrées,44,,,,https://www.nantes.fr/urgence-sociale,,
Covid-19 : Aide alimentaire lieux d'accueil de soins d'orientation,Données intégrées,67,CCAS Strasbourg,,,,2020-03-31,
Liste d'associations preneuses de dons alimentaire,Données intégrées,67,Article DNA,,,https://www.dna.fr/edition-strasbourg/2020/03/15/restaurateurs-dons-aux-associations-mode-d-emploi,2020-03-15,
FINESS à Strasbourg (Fichier national des établissements sanitaires et sociaux),En cours d'ajout,67,,,,http://finess.sante.gouv.fr/fininter/jsp/actionRechercheSimple.do,,
Covid-19 : Etat de la veille sociale,Données intégrées,67,SIAO67,,,,2020-03-28,
Listes et coordonnées des responsables des CMS de Strasbourg,Données intégrées,67,CCAS de Strasbourg,,,,2021-03-12,
Liste des Missions Locales Pour l'Emploi à Strasbourg,Données intégrées,67,MPLE Strasbourg,,,https://www.mlpe.eu/accueil/,,
Sida Info Service - LGBT+,Données intégrées,67,Sida Info Service,,,https://www.sida-info-service.org/annuaire/Association-LGBT-Ville-de-Strasbourg,,
Liste des structures sociales,En cours d'ajout,67,TÔT OU T'ART,,"Appliquer le filtre ""Eurométropole"" pour voir ce qui nous concerne",http://totoutart.org/structures-sociales.html,,
Annuaire de toutes les association inscrite à la Maison des Association de Strasbourg (MDAS),Données intégrées,67,MDAS,,,https://www.mdas.org/annuaire/,,
Codelico guide 2020,"Partenariat bloqué,Données intégrées",67,Conseil Départemental,,,,2020-02-05,
Liste des Cours de Français,En cours d'ajout,67,PAROL,,,https://parol-grandest.fr/index.php/rechercher-contenu/rechercher-un-organisme?texte_libre=&cck=organisme&departement=Bas-Rhin+%2867%29&organisme_of=&structure_08=&structure_10=&structure_25=&structure_51=&structure_52=&structure_54=&structure_55=&structure_57=&organisme_67=&organisme_68=&structure_88=&structure_90=&zone_emploi=&art_catid=10&organisme_ordering=ville%3Adesc&search=recherche_par_organisme&task=search,,
