Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
" CTG ""Accès aux droits et inclusion numérique"" (Caf X MNCA)","Dominique Boyer,Jérémy Omer","""CR  Dominique Boyer, Jérémy Omer """" CTG """"""""Accès aux droits et inclusion numérique"""""""" (Caf X MNCA)"""" 2022-01-07T14:41:21.000Z"",""CR  Dominique Boyer, Jérémy Omer """" CTG """"""""Accès aux droits et inclusion numérique"""""""" (Caf X MNCA)"""" 2022-01-07T14:53:58.000Z""","Soliguide,Opérationnel",Contacté/ en négociation,,,,,,,"Alpes-Maritimes,Alpes-Maritimes",Alpes-Maritimes,Alpes-Maritimes,7/1/2022
AAD – NVPDL  ACCOMPAGNEMENT ADMINISTRATIF ACCES aux DROITS,Aurélie Drouet ,,Soliguide,,,,,,,,,,,20/11/2020
AAJT Association d'aide aux jeunes travailleurs,,,"Merci pour l'invit',Opérationnel,Soliguide,Sortie MPLI",,"CHRS, CADA, hébergement temporaire, petite enfance, accompagnement réfugiés",https://www.facebook.com/CLLAJ-Comit%C3%A9-Local-pour-le-Logement-Autonome-des-Jeunes-108227987737672,,,,,,,,23/4/2021
Accélérateur 21 Croix Rouge,"Léa FRYDMAN,Intissar Bouftaïm,Anna Loaec","""CR  Chloé Agrinier, Olivier Longuet Accélérateur 21 Croix Rouge 2021-04-19T06:48:14.000Z"",CR  Guillaume Meugnier Accélérateur 21 Croix Rouge 2021-04-22T15:43:55.000Z,""CR  Léa FRYDMAN, Chloé Agrinier Accélérateur 21 Croix Rouge 2021-05-27T17:36:24.000Z""","Experts,Locaux",En cours (contact/actions régulières),"L’urgence et les opérations de secourisme, l'action sociale, les métiers sanitaires, sociaux et médico-sociaux, la formation au secourisme, l’action internationale",https://21-croix-rouge.fr/,Accélérateur 21,"21 Rue de la Vanne, 92120 Montrouge","Capacité d'accueil/Matériel
> 10-15 personnes max

Prix
> Mise à disposition gratuite

Personne à contacter
> gaspard.chameroy@croix-rouge.fr
",Croix-Rouge Française,,,,28/1/2020
Accès Soliguide sur le futur site du SIAO,,,Soliguide,,,https://www.siao.paris/,,,""" Bonjour, Je suis Théo Bessioud, Chargé de communication au Samusocial de Paris. Je suis notamment en charge de la communication du SIAO Paris. Dans les prochains jours, le site Internet du SIAO Paris sera mis en ligne. Nous avons prévu d'ajouter, dans la homepage, un accès direct à votre site Internet. Je voulais m'assurer, au préalable, que vous n'y voyiez pas d'inconvénient. Merci d'avance pour votre retour. N'hésitez pas à me contacter si besoin, soit via cette adresse mail, soit par téléphone au 0622137623. Bien cordialement,""

Le 5 juillet 2021 (boite mail paris)
t.bessioud@samusocial-75.fr",,,,,6/7/2021
Accor Solidarity,Contact,,"Financeur,Soliguide",,"professionalisation pour les personnes fragilisées,",http://solidarity-accorhotels.com/,Solidarity accor hotel,,,,,,,18/2/2020
Acolad,Edouard DUFAUD,CR  Edouard DUFAUD Acolad 2021-10-14T19:40:15.000Z,Mécénat/bénévolat,,,,,,,,,,,14/10/2021
Action contre la faim France,"Hélène Queau,Camille Niel,Arnaud Pavy,Emma RYBORG,Axelle Cuny","""CR  Hélène Queau, Camille Niel Action contre la faim France 2021-02-06T17:01:17.000Z"",CR  Arnaud Pavy Action contre la faim France 2021-03-10T11:21:40.000Z,CR  Emma RYBORG Action contre la faim France 2021-03-24T17:34:17.000Z,""CR  Pierre-Olivier Dolino, Emilia Sinsoilliez, Elsa Ferri-Battini, Axelle Cuny, BLENY Louise Action contre la faim France, Banque alimentaire 13, Préfecture des Bouches-du-rhône (13), Mairie du 3ème arrondissement de marseille 2021-06-10T16:52:39.000Z"",""CR  Axelle Cuny, Arnaud Pavy, Pierre-Olivier Dolino, Michel FAURE Action contre la faim France, Fraternité de la Belle de Mai 2021-09-15T17:01:15.000Z"",""CR  Cyril Farnarier, Laëtitia Kaszuba, Axelle Cuny Action contre la faim France 2021-10-22T15:06:30.000Z"",""CR   Banque alimentaire 13, Action contre la faim France 2021-11-09T17:51:35.000Z""","Soliguide,Opérationnel",,,,,,,,"Paris,Bouches-du-Rhône,Bouches-du-Rhône,Paris,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône",,,26/1/2021
ADIT,Thierry Ferrari,CR  Thierry Ferrari ADIT 2021-02-03T15:22:14.000Z,"Soliguide,Experts",,Relation avec les collectivités territoriales,https://www.adit.fr/fr/,,,,,,,,3/2/2021
ADN Ouest,,,Financeur,,Numérique dans le Territoire Ouest,https://www.adnouest.org/,ADN Ouest - Fond de dotation,,,,,,,19/2/2020
ADSF (Agir pour la Santé  des Femmes),"Dorian Richard,Anyssia DAT BIANCHI",CR  Amélie Soumal ADSF (Agir pour la Santé  des Femmes) 2021-01-20T12:23:59.000Z,"Soliguide,Merci pour l'invit',Orientation MPLI",Terminé,Prise en charge / état de santé femmes en situation de grande exclusion,https://adsfasso.org/,,,,,Paris,"Paris,Paris",,20/1/2021
Agate,,"""CR  Mathilde Dupré, Edmond Wach Agate 2021-06-07T12:45:57.000Z""",API,,,https://agate-territoires.fr/,,,,,,,,7/6/2021
AGECA,,,Locaux,,"NB : Attention, pour réserver des salles il faut être adhérent chez eux",http://www.ageca.org/,,"Paris 11, proche de Nation et de la station Alexandre Dumas (ligne 2 du métro) – bus 76 (Charonne-Bagnolet)","Capacité d'accueil/Matériel
> Salles de 8 places à 175 places

Prix
> Ce service est proposé aux associations adhérentes  

Personne à contacter
> reservations@ageca.org

",,,,,20/4/2021
Agence d'urbanisme Bordeaux Aquitaine A'urba,"Mélina Gaboreau,Camille Garcelon","""CR  Mélina Gaboreau, Camille Garcelon Agence d'urbanisme Bordeaux Aquitaine A'urba 2021-07-22T10:11:44.000Z"",""CR  Mélina Gaboreau, Camille Garcelon Agence d'urbanisme Bordeaux Aquitaine A'urba 2021-07-22T10:29:30.000Z"",""CR  Mélina Gaboreau, Camille Garcelon Agence d'urbanisme Bordeaux Aquitaine A'urba 2021-11-29T16:58:39.000Z"",CR  Mélina Gaboreau Agence d'urbanisme Bordeaux Aquitaine A'urba 2022-01-20T09:35:28.000Z",Soliguide,En cours (contact/actions régulières),Études,https://www.aurba.org,,,,,"Gironde,Gironde,Gironde,Gironde","Gironde,Gironde",,22/7/2021
Agence Phare,François Cathelineau,CR  François Cathelineau Agence Phare 2021-07-18T22:10:07.000Z,"Solinum,Soliguide,Experts,Prestataire",,Mesure d'impact,https://agencephare.com/,,,,,,,,19/7/2021
Agglomération d'Annemasse,Brigitte HAUSER,"""CR  Béatrice LAUR, Catherine Roulet, Francesco ALAMPI, Brigitte HAUSER DDETS Haute-Savoie (74), Conseil départemental de Haute-Savoie (CD 74), Agglomération d'Annemasse, Ville d'annecy 2021-06-13T09:44:27.000Z""",Soliguide,,,,,,,,Haute-Savoie,,,13/6/2021
Agglomération de Saint Quentin en Yvelines,"Corinne Auribault,Laurent Dumas",,"Soliguide,Financeur",,,,,,,,,"Yvelines,Yonne",,22/6/2021
Agglomération de Saint-Quentin-en-Yvelines,Anne Charlin,,"Soliguide,Financeur",,,,,,,,,,,3/8/2021
Aidesociale.fr,Johan Hallef,CR  Johan Hallef Aidesociale.fr 2021-12-22T12:00:07.000Z,Soliguide,Souhaité,,https://www.aide-sociale.fr/,,,,,,,,22/12/2021
Airtable,,,Financeur,,,https://airtable.com/,Airtable Blocks Contest,,,,,,,3/2/2021
Algolia,,,"API,Soliguide",,"Intelligence artificielle, plateforme de recherche",https://www.algolia.com/,,,,,,,,3/2/2021
ALKEV,,,Prestataire,,,http://www.alkev.com/,,,,,,,,3/2/2021
