,monthly,lieu_id,territoire,check,status_PRO
10875,2020-12,3037,75,2020-123037,1
10879,2020-12,5856,93,2020-125856,1
10881,2020-12,2929,92,2020-122929,1
10882,2020-12,3784,92,2020-123784,1
10886,2020-12,2462,75,2020-122462,1
10888,2020-12,8099,78,2020-128099,1
10889,2020-12,52,75,2020-1252,1
10890,2020-12,6048,92,2020-126048,1
10891,2020-12,29,75,2020-1229,1
10892,2020-12,5828,92,2020-125828,1
10894,2020-12,6792,78,2020-126792,1
10901,2020-12,5,75,2020-125,1
10906,2020-12,7336,92,2020-127336,1
10908,2020-12,3537,75,2020-123537,1
10911,2020-12,1234,75,2020-121234,1
10913,2020-12,3541,78,2020-123541,1
10916,2020-12,5170,78,2020-125170,1
10924,2020-12,6070,78,2020-126070,1
10925,2020-12,8107,44,2020-128107,1
10927,2020-12,7019,44,2020-127019,1
10928,2020-12,9901,75,2020-129901,1
10930,2020-12,898,75,2020-12898,1
10936,2020-12,9914,78,2020-129914,1
10944,2020-12,5453,33,2020-125453,1
10947,2020-12,3382,93,2020-123382,1
10953,2020-12,2803,93,2020-122803,1
10962,2020-12,5505,44,2020-125505,1
10964,2020-12,4535,44,2020-124535,1
10968,2020-12,4473,94,2020-124473,1
10971,2020-12,6221,44,2020-126221,1
10973,2020-12,8106,44,2020-128106,1
10980,2020-12,1743,75,2020-121743,1
10981,2020-12,5086,44,2020-125086,1
10982,2020-12,5397,44,2020-125397,1
10994,2020-12,3211,93,2020-123211,1
10996,2020-12,3331,93,2020-123331,1
10997,2020-12,1915,33,2020-121915,1
10999,2020-12,4849,75,2020-124849,1
11004,2020-12,8506,75,2020-128506,1
11010,2020-12,3608,78,2020-123608,1
11016,2020-12,9695,75,2020-129695,1
11030,2020-12,6374,78,2020-126374,1
11044,2020-12,6833,94,2020-126833,1
11053,2020-12,7091,78,2020-127091,1
11062,2020-12,0,75,2020-120,1
11064,2020-12,7092,78,2020-127092,1
11081,2020-12,5773,94,2020-125773,1
11085,2020-12,5120,44,2020-125120,1
11099,2020-12,4920,75,2020-124920,1
11102,2020-12,2261,67,2020-122261,1
11115,2020-12,9548,93,2020-129548,1
11140,2020-12,5708,44,2020-125708,1
11145,2020-12,10772,75,2020-1210772,1
11146,2020-12,10771,75,2020-1210771,1
11156,2020-12,23,75,2020-1223,1
11160,2020-12,43,75,2020-1243,1
11163,2020-12,33,75,2020-1233,1
11182,2020-12,1,75,2020-121,1
11195,2020-12,7360,44,2020-127360,1
11205,2020-12,892,75,2020-12892,1
11210,2020-12,8256,78,2020-128256,1
11211,2020-12,9791,78,2020-129791,1
11213,2020-12,6428,44,2020-126428,1
11221,2020-12,7231,44,2020-127231,1
11244,2020-12,6593,78,2020-126593,1
11246,2020-12,10816,33,2020-1210816,1
11253,2020-12,2470,75,2020-122470,1
11257,2020-12,10818,75,2020-1210818,1
11261,2020-12,9010,78,2020-129010,1
11268,2020-12,9011,78,2020-129011,1
11282,2020-12,1946,33,2020-121946,1
11283,2020-12,5502,44,2020-125502,1
11288,2020-12,1747,75,2020-121747,1
11326,2020-12,10791,75,2020-1210791,1
11342,2020-12,2779,93,2020-122779,1
11346,2020-12,2784,93,2020-122784,1
11349,2020-12,2788,93,2020-122788,1
11365,2020-12,3679,75,2020-123679,1
11386,2020-12,3811,33,2020-123811,1
11392,2020-12,5687,75,2020-125687,1
11396,2020-12,8139,75,2020-128139,1
11397,2020-12,4914,75,2020-124914,1
11398,2020-12,10834,75,2020-1210834,1
11402,2020-12,10835,75,2020-1210835,1
11406,2020-12,5686,75,2020-125686,1
11420,2020-12,10493,92,2020-1210493,1
11421,2020-12,10594,92,2020-1210594,1
11439,2020-12,10595,92,2020-1210595,1
11440,2020-12,10596,92,2020-1210596,1
11441,2020-12,5783,75,2020-125783,1
11442,2020-12,10610,92,2020-1210610,1
11444,2020-12,10611,92,2020-1210611,1
11445,2020-12,10612,92,2020-1210612,1
11446,2020-12,10626,92,2020-1210626,1
11494,2020-12,10128,75,2020-1210128,1
11507,2020-12,112,75,2020-12112,1
11517,2020-12,5391,33,2020-125391,1
11534,2020-12,7254,75,2020-127254,1
11570,2020-12,5811,33,2020-125811,1
11633,2020-12,2280,67,2020-122280,1
11634,2020-12,1229,75,2020-121229,1
11637,2020-12,1934,33,2020-121934,1
11641,2020-12,4,75,2020-124,1
11644,2020-12,10714,75,2020-1210714,1
11647,2020-12,2412,75,2020-122412,1
11664,2020-12,2467,75,2020-122467,1
11680,2020-12,3747,75,2020-123747,1
11681,2020-12,4699,33,2020-124699,1
11685,2020-12,1720,75,2020-121720,1
11690,2020-12,5656,44,2020-125656,1
11695,2020-12,2505,75,2020-122505,1
11702,2020-12,5662,44,2020-125662,1
11709,2020-12,5669,33,2020-125669,1
11713,2020-12,4918,75,2020-124918,1
11726,2020-12,5663,44,2020-125663,1
11734,2020-12,2651,75,2020-122651,1
11750,2020-12,5664,44,2020-125664,1
11754,2020-12,9966,33,2020-129966,1
11755,2020-12,4103,33,2020-124103,1
11757,2020-12,5666,44,2020-125666,1
11763,2020-12,7050,44,2020-127050,1
11767,2020-12,7051,44,2020-127051,1
11771,2020-12,7052,44,2020-127052,1
11774,2020-12,7053,44,2020-127053,1
11784,2020-12,2507,75,2020-122507,1
11787,2020-12,10874,44,2020-1210874,1
11800,2020-12,10875,44,2020-1210875,1
11804,2020-12,1916,33,2020-121916,1
11808,2020-12,2777,93,2020-122777,1
11816,2020-12,4661,93,2020-124661,1
11818,2020-12,879,75,2020-12879,1
11819,2020-12,3750,75,2020-123750,1
11831,2020-12,8886,44,2020-128886,1
11833,2020-12,2950,92,2020-122950,1
11836,2020-12,7233,78,2020-127233,1
11844,2020-12,3787,92,2020-123787,1
11854,2020-12,5011,93,2020-125011,1
11861,2020-12,7174,93,2020-127174,1
11869,2020-12,3033,93,2020-123033,1
11874,2020-12,5882,78,2020-125882,1
11876,2020-12,8353,93,2020-128353,1
11882,2020-12,2461,75,2020-122461,1
11886,2020-12,8108,94,2020-128108,1
11888,2020-12,4649,33,2020-124649,1
11891,2020-12,3003,93,2020-123003,1
11912,2020-12,6755,78,2020-126755,1
11925,2020-12,10709,75,2020-1210709,1
11926,2020-12,3010,93,2020-123010,1
11931,2020-12,4203,33,2020-124203,1
11932,2020-12,6242,78,2020-126242,1
11937,2020-12,6240,78,2020-126240,1
11938,2020-12,6241,78,2020-126241,1
11940,2020-12,6753,78,2020-126753,1
11966,2020-12,8311,93,2020-128311,1
11977,2020-12,6223,33,2020-126223,1
11984,2020-12,2679,75,2020-122679,1
11988,2020-12,5885,78,2020-125885,1
11989,2020-12,5981,78,2020-125981,1
11993,2020-12,2211,67,2020-122211,1
11994,2020-12,3295,94,2020-123295,1
11996,2020-12,10877,78,2020-1210877,1
12010,2020-12,6721,78,2020-126721,1
12013,2020-12,9136,75,2020-129136,1
12016,2020-12,2440,75,2020-122440,1
12031,2020-12,2727,75,2020-122727,1
12048,2020-12,10676,75,2020-1210676,1
12081,2020-12,3065,93,2020-123065,1
12082,2020-12,6412,94,2020-126412,1
12086,2020-12,335,75,2020-12335,1
12095,2020-12,8607,78,2020-128607,1
12099,2020-12,9130,75,2020-129130,1
12102,2020-12,9137,75,2020-129137,1
12114,2020-12,5958,78,2020-125958,1
12116,2020-12,6517,94,2020-126517,1
12122,2020-12,10880,33,2020-1210880,1
12127,2020-12,8020,94,2020-128020,1
12132,2020-12,6161,78,2020-126161,1
12135,2020-12,890,75,2020-12890,1
12136,2020-12,4716,33,2020-124716,1
12138,2020-12,181,75,2020-12181,1
12142,2020-12,9811,67,2020-129811,1
12152,2020-12,1949,33,2020-121949,1
12159,2020-12,10881,33,2020-1210881,1
12174,2020-12,9925,33,2020-129925,1
12186,2020-12,1765,33,2020-121765,1
12194,2020-12,4893,75,2020-124893,1
12215,2020-12,4878,75,2020-124878,1
12231,2020-12,6472,94,2020-126472,1
12240,2020-12,3732,93,2020-123732,1
12242,2020-12,6669,44,2020-126669,1
12258,2020-12,9720,75,2020-129720,1
12259,2020-12,2335,67,2020-122335,1
12267,2020-12,8874,94,2020-128874,1
12274,2020-12,182,75,2020-12182,1
12291,2020-12,7159,93,2020-127159,1
12310,2020-12,3540,78,2020-123540,1
12316,2020-12,9560,78,2020-129560,1
12322,2020-12,3198,92,2020-123198,1
12324,2020-12,6318,94,2020-126318,1
12325,2020-12,10492,94,2020-1210492,1
12337,2020-12,3398,92,2020-123398,1
12341,2020-12,9964,67,2020-129964,1
12353,2020-12,2522,75,2020-122522,1
