,createdAt,territories,departement
0,2020-11,['33'],33
1,2020-11,['33'],33
2,2020-11,['33'],33
3,2020-11,['33'],33
4,2020-11,['33'],33
5,2020-11,['33'],33
6,2020-11,['33'],33
7,2020-11,['33'],33
8,2020-11,['33'],33
9,2020-11,['33'],33
10,2020-11,['33'],33
11,2020-11,['33'],33
12,2020-11,['33'],33
13,2020-11,['33'],33
14,2020-11,['33'],33
15,2020-11,['33'],33
16,2020-11,['33'],33
17,2020-11,['33'],33
18,2020-11,['33'],33
19,2020-11,['33'],33
20,2020-11,['33'],33
21,2020-11,['33'],33
22,2020-11,['33'],33
23,2020-11,['33'],33
24,2020-11,['33'],33
25,2020-11,['33'],33
26,2020-11,['33'],33
27,2020-11,['33'],33
28,2020-11,['33'],33
29,2020-11,['33'],33
30,2020-11,['33'],33
31,2020-11,['33'],33
32,2020-11,['33'],33
33,2020-11,['33'],33
34,2020-11,['33'],33
35,2020-11,['33'],33
36,2020-11,['33'],33
37,2020-11,['33'],33
38,2020-11,['33'],33
39,2020-11,['33'],33
40,2020-11,['33'],33
41,2020-11,['33'],33
42,2020-11,['33'],33
43,2020-11,['33'],33
44,2020-11,['33'],33
45,2020-11,['33'],33
46,2020-11,['33'],33
47,2020-11,['33'],33
48,2020-11,['33'],33
49,2020-11,['33'],33
50,2020-11,['33'],33
51,2020-11,['33'],33
52,2020-11,['33'],33
53,2020-11,['33'],33
54,2020-11,['33'],33
55,2020-11,['33'],33
56,2020-11,['33'],33
57,2020-11,['33'],33
58,2020-11,['33'],33
59,2020-11,['33'],33
60,2020-11,['33'],33
61,2020-11,['33'],33
62,2020-11,['33'],33
63,2020-11,['33'],33
64,2020-11,['33'],33
65,2020-11,['33'],33
66,2020-11,['33'],33
67,2020-11,['33'],33
68,2020-11,['33'],33
69,2020-11,['33'],33
70,2020-11,['33'],33
71,2020-11,['33'],33
72,2020-11,['33'],33
73,2020-11,['33'],33
74,2020-11,['33'],33
75,2020-11,['33'],33
76,2020-11,['33'],33
77,2020-11,['33'],33
