,Département,departement,Addiction,Dépistage,Psychologie,Soins enfants,Généraliste,Dentaire,Suivi grossesse,Vaccination,Infirmerie,Vétérinaire,Atelier numérique,Formation français,Accompagnement à l'emploi,Chantier d'insertion,Soutien scolaire,Douche,Laverie,Bien-être,Toilettes,Protections périodiques,Masques,Conseil logement,Permanence juridique,Domiciliation,Accompagnement social,Ecrivain public,Conseil handicap,Conseil administratif,conseil parents,Ordinateur,Wifi,Prise,Téléphones,Numérisation de documents,Distribution alimentaire,Restauration assise,Colis Alimentaire,Epicerie AideSociale,Fontaine,Accueil de jour,Hébergement d'urgence,Hébergement à long terme,Espaces de repos,Halte de nuit,Garde d'enfants,espace famille,Sport,Musée,Bibliothèque,Activités,Bagagerie,Magasin solidaire,Vêtements,Animaux,Moyenne
0,06,Alpes-Maritimes,32.0,11.5,67.35,1.27,28.33,3.19,21.79,50.0,30.77,0.0,33.33,16.06,81.08,1.22,22.58,16.13,8.82,2.16,17.02,0.0,0.0,50.0,54.34,4.18,100.0,11.45,64.79,100.0,41.38,38.89,14.06,6.14,16.22,4.44,17.81,9.04,53.51,13.79,1.23,13.04,5.32,0.0,4.55,0.0,3.49,0.0,16.46,0.99,3.93,100.0,1.97,12.97,29.82,0.0,22.93
1,07,Ardèche,30.0,5.71,2.56,0.0,0.0,1.23,3.9,0.0,20.0,0.0,31.58,3.92,16.0,11.11,0.0,7.14,5.71,8.0,12.5,5.56,2.5,90.48,0.3,0.8,81.48,0.3,5.03,46.08,39.39,100.0,0.0,0.7,22.22,0.0,8.33,0.3,3.4,0.0,5.88,2.6,0.0,0.0,12.5,0.0,1.39,0.0,2.3,0.0,2.7,21.05,0.33,0.3,3.7,0.3,11.47
2,13,Bouches-du-Rhône,0.91,0.52,1.72,0.0,0.0,0.59,0.0,0.0,2.3,0.0,4.55,6.69,12.03,2.07,6.61,3.42,1.64,0.0,6.45,4.95,0.0,5.26,7.32,1.32,26.21,5.8,0.35,22.34,0.53,0.53,0.0,0.81,0.0,0.0,12.3,5.33,53.68,6.67,35.61,1.92,2.73,7.95,1.08,0.0,0.86,0.0,1.63,0.0,2.54,20.83,1.42,5.92,13.16,0.0,5.53
3,15,Cantal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,28.57,0.0,1.41,0.0,40.0,20.0,16.67,11.11,20.0,14.29,0.0,0.0,0.41,1.67,100.0,0.0,0.0,5.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.41,0.0,20.0,0.0,7.14,1.03,0.0,25.0,25.0,0.0,0.0,0.0,0.0,44.44,100.0,0.47,2.03,3.26,0.0,10.52
4,16,Charente,0.0,0.0,1.89,21.43,0.0,0.0,1.37,6.9,5.26,0.0,16.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.82,1.41,29.17,0.0,0.27,40.0,24.14,29.41,9.52,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,4.8
5,21,Côte-d'Or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,14.89,0.0,5.0,0.0,0.0,30.77,0.0,0.0,0.0,0.0,3.42,0.0,100.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,14.29,13.64,0.0,0.0,8.53,0.0,4.07
6,24,Dordogne,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.96,0.0,7.14,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.47
7,33,Gironde,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,34,Hérault,11.11,4.17,9.27,0.69,6.29,0.48,0.0,0.67,10.17,0.0,11.29,8.09,8.82,1.01,8.51,3.57,2.44,1.36,40.3,0.0,0.0,13.64,4.57,2.58,36.72,1.16,2.22,41.33,6.47,18.56,13.41,1.38,4.17,0.68,1.27,1.11,3.46,4.96,0.0,3.33,0.42,3.39,1.47,0.0,0.62,2.74,1.66,0.0,2.73,24.1,0.63,1.4,4.74,0.59,6.18
9,36,Indre,0.0,25.0,11.11,18.18,0.0,0.0,0.0,10.0,14.29,0.0,71.43,4.55,2.04,0.0,22.22,18.18,16.67,6.67,14.29,11.11,0.0,100.0,1.65,1.84,100.0,0.0,0.46,100.0,33.33,50.0,11.11,0.78,0.0,0.0,50.0,0.0,0.97,27.27,0.0,33.33,11.59,100.0,42.86,28.57,0.0,11.11,17.39,0.0,0.0,100.0,0.44,3.31,3.05,1.69,19.93
