,created_at,departement,en ligne,brouillon
0,2021-06,Alpes-Maritimes,78,311
1,2021-06,Bas-Rhin,11,240
2,2021-06,Essonne,80,117
3,2021-06,Gironde,11,577
4,2021-06,Hauts-de-Seine,9,701
5,2021-06,Loire-Atlantique,20,361
6,2021-06,Nord,1,1
7,2021-06,Paris,22,1230
8,2021-06,Pyrénées-Orientales,1,0
9,2021-06,Seine-Saint-Denis,4,683
10,2021-06,Seine-et-Marne,57,121
11,2021-06,Val-d'Oise,13,268
12,2021-06,Val-de-Marne,26,710
13,2021-06,Yvelines,25,790
14,2021-07,Alpes-Maritimes,101,341
15,2021-07,Bas-Rhin,44,223
16,2021-07,Bouches-du-Rhône,2,5
17,2021-07,Essonne,129,97
18,2021-07,Gironde,21,610
19,2021-07,Hauts-de-Seine,17,716
20,2021-07,Loire-Atlantique,101,578
21,2021-07,Paris,53,1230
22,2021-07,Seine-Saint-Denis,6,689
23,2021-07,Seine-et-Marne,92,118
24,2021-07,Val-d'Oise,52,282
25,2021-07,Val-de-Marne,55,705
26,2021-07,Yvelines,32,797
27,2021-08,Alpes-Maritimes,176,298
28,2021-08,Bas-Rhin,45,234
29,2021-08,Essonne,165,129
30,2021-08,Gironde,33,631
31,2021-08,Hauts-de-Seine,28,717
32,2021-08,Paris,59,1232
33,2021-08,Seine-Saint-Denis,8,689
34,2021-08,Seine-et-Marne,110,149
35,2021-08,Val-d'Oise,84,304
36,2021-08,Val-de-Marne,57,707
37,2021-08,Yvelines,55,778
38,2021-09,Alpes-Maritimes,229,265
39,2021-09,Bas-Rhin,61,219
40,2021-09,Bouches-du-Rhône,24,53
41,2021-09,Cantal,2,5
42,2021-09,Essonne,169,133
43,2021-09,Gironde,34,636
44,2021-09,Hauts-de-Seine,30,716
45,2021-09,Loire-Atlantique,104,586
46,2021-09,Paris,80,1226
47,2021-09,Seine-Saint-Denis,10,711
48,2021-09,Seine-et-Marne,133,145
49,2021-09,Val-d'Oise,99,300
50,2021-09,Val-de-Marne,61,711
51,2021-09,Yvelines,120,723
52,2021-10,Alpes-Maritimes,253,326
53,2021-10,Bas-Rhin,75,209
54,2021-10,Bouches-du-Rhône,42,107
55,2021-10,Essonne,172,132
56,2021-10,Gironde,39,635
57,2021-10,Hauts-de-Seine,31,716
58,2021-10,Indre,1,134
59,2021-10,Loire-Atlantique,113,592
60,2021-10,Paris,89,1238
61,2021-10,Puy-de-Dôme,2,10
62,2021-10,Seine-Saint-Denis,24,698
63,2021-10,Seine-et-Marne,175,162
64,2021-10,Val-d'Oise,114,315
65,2021-10,Val-de-Marne,64,711
66,2021-10,Yvelines,133,722
67,2021-11,Alpes-Maritimes,292,298
68,2021-11,Bas-Rhin,82,210
69,2021-11,Bouches-du-Rhône,58,152
70,2021-11,Cantal,14,15
71,2021-11,Essonne,189,128
72,2021-11,Gironde,47,641
73,2021-11,Hauts-de-Seine,34,715
74,2021-11,Hérault,10,88
75,2021-11,Indre,20,136
76,2021-11,Indre-et-Loire,1,6
77,2021-11,Loire-Atlantique,141,634
78,2021-11,Paris,97,1241
79,2021-11,Puy-de-Dôme,5,48
