Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
"Organisation inaccessible (404) sur Soliguide par l'asso, mais accessible par moi",,,,Association,Association La Passerelle 59,"Que la personne retrouve l'accès à son organisme et sa fiche, qu'elle ne peut plus modifier",Plate-forme Web V2,1/2/2022,,,Critique,Soliguide.jpg (https://dl.airtable.com/.attachments/88d7d21c562e63176a3162a3fee6e408/2210a3bb/Soliguide.jpg),"J'ai vérifié qu'elle était bien connectée, ainsi que les différents accès au Soliguide pendant une visio avec écran partagé. Elle a également vidé ses cookies navigateur, s'est déconnectée et reconnectée, sur Google Chrome sur Windows. ",C'est l'association qui nous a contacté par mail.,,,,,,,,1/2/2022 4:42pm,"Gabrielle Hiroux 
gabrielle@solinum.org",Nord
Publics - Texte de champ libre,Suzanne Danvin,,,Equipe Soliguide,,"Possibilité de sélectionner ""Accueil préférentiel"" ou ""Accueil exclusif"" sans avoir à cocher de cases.",Plate-forme Web V2,1/2/2022,,,Mineur,,,,,,,,,,,1/2/2022 4:56pm,,Val-de-Marne
Data : le graphique reprenant le nombre d'utilisateurs Soliguide est bugé pour Paris,Jeanne Ovart,,,Equipe Soliguide,,Le réparer afin de poursuivre sur la donnée et notre impact  :) ,Outils (pour collaborateurs),31/1/2022,,,Mineur,,,,,,,,,,,31/1/2022 3:54pm,,Paris
Avoir des chiffres mensuels dans le dashboard du nombre d'utilisateurs des API sur son territoire,Jeanne Ovart,,,Equipe Soliguide,,Intégrer ses chiffres à notre dashboard mensuel de CDL,Outils (pour collaborateurs),31/1/2022,,,Mineur,,,,,,,,,,,31/1/2022 3:56pm,,Paris
Avoir des chiffres mensuels dans le dashboard du nombre d'utilisateurs du kit de comm' trackés ,Jeanne Ovart,,,Equipe Soliguide,,Intégrer ses chiffres à notre dashboard mensuel de CDL,Outils (pour collaborateurs),31/1/2022,,,Mineur,,,,,,,,,,,31/1/2022 3:58pm,,Paris
Avoir des chiffres mensuels dans le dashboard du nombre d'utilisateurs du QR code trackés sur son territoire,Jeanne Ovart,,,Equipe Soliguide,,Intégrer ses chiffres à notre dashboard mensuel de CDL,Outils (pour collaborateurs),31/1/2022,,,Mineur,,,,,,,,,,,31/1/2022 3:58pm,,Paris
Message d'erreur pas clair quand on se connecte sans être validé,Pierre Blanchais,,,Equipe Soliguide,,Il faudrait que le message indique que le compte n'est pas validé afin de pouvoir comprendre d'où vient le problème,Plate-forme Web V2,31/1/2022,,,Négligeable,,,,,,,,,,,31/1/2022 6:31pm,,National
Automatisme contact airtable sur sendinblue,Alexandra lefeivre,,,Equipe Soliguide,,Ajouter automatiquement les contacts de Soliguide sur les listes Sendinblue respectives,Base de donnée,27/1/2022,,,Mineur,,,,,,,,,,,27/1/2022 5:17pm,,National
Mise à jour des services,,,,Structure de l'action sociale,Croix rouge paris 18 (crisp),"Que les infos datant de la MAJ été ne soient plus visibles, et surtout qu'elles arrêtent de bloquer les mises à jour",Multiple,25/1/2022,,,Majeur,Capture d’écran 2022-01-25 à 12.20.25.png (https://dl.airtable.com/.attachments/c75a98e916bee6a862a361d1b24fdf59/a00b4f35/Capturedecran2022-01-25a12.20.25.png),"Je mets ""majeur"" car ça peut décourager ","Crisp (j'avais eu le pb de mon côté mais il y a déjà des remontées en ce sens il me semble, j'ajoute car là ça vient d'un pro)",,,,,,,,25/1/2022 12:31pm,Charlotte charlotte@solinum.org,Yvelines
Notification chat pour les usagers non Solinum,,,,Autre,"Idée prise par un Benchmark réalisé par le 115 de Paris. Ce benchmark visé à comprendre les numéros d'urgence existants au Canada, UK et USA ",Pourquoi pas s'y intéresser pour les intégrer ! A vous de voir ;) ,Plate-forme Web V2,24/1/2022,,,,Benchmark outils 115 à l'international.pdf (https://dl.airtable.com/.attachments/ecf15f64ea979d1ef572c2bf3e2cb206/a3166828/Benchmarkoutils115linternational.pdf),Désolée pour la remontée de bug pas optimale mais je voulais garder une trace écrite de ces fonctionnalités intéressantes :) ,,,,,,,,,24/1/2022 4:17pm,Jeanne OVART jeanne@solinum.org,Paris
"""orthogénie"" - ajouter l'expression IVG",,Jean GUILLEMINOT,jean.guilleminot@aphp.fr,Professionnel de l'action sociale,aphp," pourriez-vous ajouter IVG entre parenthèses après le mot ""orthogénie"" dans le nom de notre centre. En effet ""orthogénie"" n'est guère connu du grand public au contraire de l'expression IVG.",Multiple,18/1/2022,,,Majeur,,https://soliguide.fr/fiche/9774,,,,,,,,,18/1/2022 4:02pm,Ségolène Robert ; segolene@solinum.org,Hauts-de-Seine
